Model,Features,N_Features,CV_ROC_AUC,CV_Accuracy,Test_ROC_AUC,Test_Accuracy,Test_F1,Training_Time,Best_Params
XGBoost,top15,15,0.9137903225806452,0.8346631205673759,0.8743589743589744,0.8151260504201681,0.717948717948718,7.129090309143066,"{'colsample_bytree': np.float64(0.7816396748153905), 'gamma': np.float64(0.32384506027068116), 'learning_rate': np.float64(0.010150909328641588), 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 358, 'subsample': np.float64(0.7020856391593572)}"
LightGBM,top10,10,0.9128738239247312,0.8451684397163121,0.8743589743589744,0.7983193277310925,0.6923076923076923,15.932026863098145,"{'colsample_bytree': np.float64(0.8282623055075649), 'learning_rate': np.float64(0.017371546755787604), 'max_depth': 7, 'min_child_samples': 23, 'n_estimators': 162, 'num_leaves': 71, 'subsample': np.float64(0.8689826715929151)}"
XGBoost,top10,10,0.9062466397849462,0.8366578014184398,0.8740384615384617,0.8235294117647058,0.72,6.316194772720337,"{'colsample_bytree': np.float64(0.7816396748153905), 'gamma': np.float64(0.32384506027068116), 'learning_rate': np.float64(0.010150909328641588), 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 358, 'subsample': np.float64(0.7020856391593572)}"
LightGBM,all,27,0.9186727150537635,0.836613475177305,0.8692307692307691,0.8151260504201681,0.7105263157894737,32.02872705459595,"{'colsample_bytree': np.float64(0.8199582915145766), 'learning_rate': np.float64(0.023533042331948473), 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 370, 'num_leaves': 81, 'subsample': np.float64(0.7271819303598462)}"
LightGBM,top15,15,0.913138440860215,0.8178191489361701,0.8669871794871795,0.7899159663865546,0.6753246753246753,15.856008052825928,"{'colsample_bytree': np.float64(0.7973035063015821), 'learning_rate': np.float64(0.04540550686319527), 'max_depth': 3, 'min_child_samples': 11, 'n_estimators': 289, 'num_leaves': 20, 'subsample': np.float64(0.7683805487625824)}"
XGBoost,all,27,0.9122488239247313,0.8410017730496454,0.8628205128205129,0.7899159663865546,0.6753246753246753,14.381086111068726,"{'colsample_bytree': np.float64(0.7800343042825855), 'gamma': np.float64(0.48830747791632645), 'learning_rate': np.float64(0.12920073386228706), 'max_depth': 9, 'min_child_weight': 5, 'n_estimators': 323, 'subsample': np.float64(0.9724797657899961)}"
MLP,all,27,0.899758064516129,0.8008421985815601,0.8602564102564103,0.8067226890756303,0.7012987012987013,4.595482110977173,"{'activation': 'tanh', 'alpha': np.float64(0.0019223608778806234), 'hidden_layer_sizes': (50, 50), 'learning_rate_init': np.float64(0.00411711076089411)}"
MLP,top15,15,0.9117225302419353,0.8218971631205674,0.8448717948717949,0.7815126050420168,0.6578947368421053,5.523329973220825,"{'activation': 'relu', 'alpha': np.float64(0.0003058449429580245), 'hidden_layer_sizes': (100,), 'learning_rate_init': np.float64(0.008219987722668248)}"
MLP,top10,10,0.9108425739247312,0.8156028368794326,0.8057692307692308,0.7478991596638656,0.6428571428571429,4.075582027435303,"{'activation': 'tanh', 'alpha': np.float64(0.0022233911067827614), 'hidden_layer_sizes': (50, 50), 'learning_rate_init': np.float64(0.002834045098534338)}"
