Model,Features,N_Features,CV_ROC_AUC,Test_ROC_AUC,Test_Accuracy,Test_F1,Test_Balanced_Acc,Training_Time
Gradient_Boosting,all,27,0.906523937532002,0.8798076923076923,0.8319327731092437,0.7222222222222222,0.7895833333333333,105.08195757865906
SVM_RBF,rfe,24,0.9128200204813108,0.8772435897435897,0.8151260504201681,0.6764705882352942,0.7573717948717948,3.2049100399017334
LightGBM,rfe,24,0.9133739759344598,0.8769230769230769,0.8067226890756303,0.7012987012987013,0.7774038461538462,20.86826252937317
LightGBM,all,27,0.9109971838197645,0.8762820512820513,0.8151260504201681,0.717948717948718,0.7902243589743589,22.701126098632812
Elastic_Net,rfe,24,0.9121911802355351,0.8727564102564103,0.8067226890756303,0.676056338028169,0.7576923076923077,0.48868751525878906
SVM_RBF,all,27,0.9117967549923195,0.8717948717948718,0.8235294117647058,0.6956521739130435,0.7701923076923077,3.5455052852630615
Elastic_Net,all,27,0.9098542306707629,0.8711538461538462,0.7983193277310925,0.6571428571428571,0.7448717948717949,0.4684484004974365
Gradient_Boosting,rfe,24,0.9071324564772144,0.8711538461538462,0.8235294117647058,0.72,0.7899038461538461,99.65550947189331
MLP,rfe,24,0.9020970942140296,0.8711538461538462,0.7647058823529411,0.6818181818181818,0.7658653846153847,7.477453708648682
XGBoost,rfe,24,0.9135355862775217,0.8698717948717949,0.7899159663865546,0.6753246753246753,0.7583333333333333,22.164201498031616
XGBoost,all,27,0.9132427675371225,0.8695512820512821,0.7899159663865546,0.6753246753246753,0.7583333333333333,23.474945545196533
MLP,all,27,0.90749023937532,0.8455128205128205,0.7899159663865546,0.6666666666666666,0.7517628205128206,6.4778032302856445
